timestep,pX,pY,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y
0,1.4,1.999,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.001,-0.001,0.0,0.0,0.0,0.0
1,1.4,1.9980000030000002,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.001999985,-0.001999985,0.0,0.0,0.0,0.0
2,1.4,1.9970000109999553,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.0029999530002250002,-0.0029999530002250002,0.0,0.0,0.0,0.0
3,1.4,1.9960000259997843,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.003999902000959997,-0.003999902000959997,0.0,0.0,0.0,0.0
4,1.4,1.9950000499993663,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.0049998300025539824,-0.0049998300025539824,0.0,0.0,0.0,0.0
5,1.4,1.9940000849985364,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.005999735005423942,-0.005999735005423942,0.0,0.0,0.0,0.0
6,1.4,1.9930001329970815,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.006999615010058853,-0.006999615010058853,0.0,0.0,0.0,0.0
7,1.4,1.9920001959947367,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.007999468017023684,-0.007999468017023684,0.0,0.0,0.0,0.0
8,1.4,1.9910002759911807,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.00899929202696339,-0.00899929202696339,0.0,0.0,0.0,0.0
9,1.4,1.9900003749860329,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.009999085040606913,-0.009999085040606913,0.0,0.0,0.0,0.0
10,1.4,1.9890004949788482,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.010998845058771177,-0.010998845058771177,0.0,0.0,0.0,0.0
11,1.4,1.9880006379691137,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.011998570082365089,-0.011998570082365089,0.0,0.0,0.0,0.0
12,1.4,1.9870008059562443,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.012998258112393527,-0.012998258112393527,0.0,0.0,0.0,0.0
13,1.4,1.986001000939579,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.013997907149961351,-0.013997907149961351,0.0,0.0,0.0,0.0
14,1.4,1.985001224918377,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.014997515196277386,-0.014997515196277386,0.0,0.0,0.0,0.0
15,1.4,1.9840014798918137,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.015997080252658426,-0.015997080252658426,0.0,0.0,0.0,0.0
16,1.4,1.983001767858976,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.01699660032053323,-0.01699660032053323,0.0,0.0,0.0,0.0
17,1.4,1.982002090818859,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.01799607340144651,-0.01799607340144651,0.0,0.0,0.0,0.0
18,1.4,1.9810024507703616,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.018995497497062933,-0.018995497497062933,0.0,0.0,0.0,0.0
19,1.4,1.9800028497122835,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.01999487060917112,-0.01999487060917112,0.0,0.0,0.0,0.0
